time,prevBugs,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,51,0,51,51,0,0,0,0,0,0,0,0,0,1,0,0,0,1
46,0,3,37,40,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,1,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,3,11,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,2,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,51,0,51,51,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,3,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,2,2,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,6,2,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,10,6,16,56,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11,0,9,2,11,63,0,0,0,0,0,0,0,0,0,1,0,0,0,1
134,0,13,0,13,76,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,0,1,8,9,69,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,20,5,25,84,0,0,0,0,0,0,0,0,0,1,0,0,0,1
52,0,4,0,4,88,0,0,0,0,0,0,0,0,0,1,0,0,0,1
124,0,1,4,5,85,0,0,0,0,0,0,0,0,0,1,0,0,0,1
157,0,11,11,22,85,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,1,1,2,85,0,0,0,0,0,0,0,0,0,1,0,0,0,1
47,0,3,1,4,87,0,0,0,0,0,0,0,0,0,1,0,0,0,1
127,0,1,1,2,87,0,0,0,0,0,0,0,0,0,1,0,0,0,1
934,0,1,1,2,87,0,0,0,0,0,0,0,0,0,1,0,0,0,1
669,0,2,1,3,88,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1291,0,1,1,2,88,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1716,0,2,15,17,75,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9722,0,1,3,4,73,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,2,73,0,0,0,0,0,0,0,0,0,1,0,0,0,1
822,0,1,1,2,73,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1536,0,8,0,8,82,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2320,0,1,0,1,83,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1534,0,1,0,1,74,0,0,0,0,0,0,0,0,0,1,0,0,0,1
159,0,1,1,2,83,0,0,0,0,0,1,0,0,0,1,0,0,0,1
133,1,27,0,27,110,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4,1,22,13,35,119,0,0,0,0,0,1,0,0,0,1,0,0,0,1
6,1,13,4,17,128,0,0,0,0,0,1,0,0,0,1,0,0,0,1
15,1,2,1,3,129,0,0,0,0,0,1,0,0,0,1,0,0,0,1
57,1,116,70,186,162,0,0,0,0,0,0,0,0,1,1,0,0,0,1
4,1,1,15,16,115,0,0,0,0,0,1,0,0,0,1,0,0,0,1
149,1,1,0,1,116,0,0,0,0,0,1,0,0,1,1,0,0,0,1
485,1,1,1,2,162,0,0,0,0,0,0,0,0,1,1,0,0,0,1
222,1,13,7,20,168,0,0,0,0,0,0,0,0,1,1,0,0,0,1
17,1,18,12,30,174,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1325,1,7,2,9,179,0,0,0,0,0,0,0,0,0,1,0,0,0,1
326,1,7,5,12,181,0,0,0,0,0,0,0,0,0,1,0,0,0,1
