Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,82,77,93.90243902439023,5,6.097560975609756,32,39.02439024390244,752,911.0
max-depth,0,0,0,0,0,0,0,0,0
complexity,56,54,96.42857142857143,2,3.571428571428571,20,35.714285714285715,650,740.5
max-len,1003,733,73.08075772681954,270,26.919242273180462,358,35.69292123629113,354,203
max-params,24,24,100.0,0,0.0,6,25.0,831,940.0
max-nested-callbacks,612,123,20.098039215686274,489,79.90196078431373,114,18.627450980392158,1029,986.0
complex-switch-case,33,33,100.0,0,0.0,24,72.72727272727273,1032,969
this-assign,58,58,100.0,0,0.0,50,86.20689655172413,388,33.0
complex-chaining,37,23,62.16216216216216,14,37.83783783783784,7,18.91891891891892,365,386
no-reassign,6354,5856,92.16241737488197,498,7.837582625118037,2241,35.26912181303116,734,789.5
no-extra-bind,0,0,0,0,0,0,0,0,0
cond-assign,16,16,100.0,0,0.0,3,18.75,275,134.0
Total,8275,6997,84.5558912386707,1278,15.444108761329305,2855,34.50151057401813
