Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,23,8,34.78260869565217,15,65.21739130434783,4,17.391304347826086,717,546
max-depth,0,0,0,0,0,0,0,0,0
complexity,35,22,62.857142857142854,13,37.142857142857146,4,11.428571428571429,568,287
max-len,82,32,39.02439024390244,50,60.97560975609756,28,34.146341463414636,719,644.0
max-params,41,23,56.09756097560976,18,43.90243902439025,16,39.02439024390244,633,413
max-nested-callbacks,70,38,54.285714285714285,32,45.714285714285715,27,38.57142857142858,656,163.0
complex-switch-case,1,0,0.0,1,100.0,0,0.0,1381,1381
this-assign,65,4,6.153846153846154,61,93.84615384615384,14,21.53846153846154,1249,1410
complex-chaining,178,82,46.06741573033708,96,53.93258426966292,35,19.662921348314608,819,1231.0
no-reassign,3228,1427,44.206939281288726,1801,55.793060718711274,1235,38.25898389095415,777,797.0
no-extra-bind,11,11,100.0,0,0.0,5,45.45454545454545,67,19
cond-assign,0,0,0,0,0,0,0,0,0
Total,3734,1647,44.108194965184786,2087,55.891805034815214,1368,36.63631494376005
