Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average commits of survival,Median commits of survival
max-statements,5,3,60.0,2,40.0,0,0.0,905,1032
max-depth,0,0,0,0,0,0,0,0,0
complexity,6,3,50.0,3,50.0,0,0.0,746,908.0
max-len,48,30,62.5,18,37.5,26,54.166666666666664,971,952.0
max-params,43,25,58.139534883720934,18,41.86046511627907,16,37.2093023255814,756,816
max-nested-callbacks,82,50,60.97560975609756,32,39.02439024390244,27,32.926829268292686,768,375.0
complex-switch-case,1,0,0.0,1,100.0,0,0.0,1124,1124
this-assign,65,4,6.153846153846154,61,93.84615384615384,14,21.53846153846154,1344,1424
complex-chaining,199,95,47.73869346733669,104,52.26130653266332,38,19.09547738693467,971,1011
no-reassign,3377,1572,46.55019247853124,1805,53.44980752146876,1235,36.57092093574178,930,951
no-extra-bind,11,11,100.0,0,0.0,5,45.45454545454545,302,96
cond-assign,0,0,0,0,0,0,0,0,0
Total,3837,1793,46.72921553296847,2044,53.27078446703154,1361,35.470419598644774
