Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,36,19,52.77777777777778,17,47.22222222222222,12,33.33333333333333,337,434.0
max-depth,3,3,100.0,0,0.0,0,0.0,72,82
complexity,23,16,69.56521739130434,7,30.434782608695656,3,13.043478260869565,201,32
max-len,133,119,89.47368421052632,14,10.526315789473683,34,25.563909774436087,154,12
max-params,2,1,50.0,1,50.0,1,50.0,262,262.0
max-nested-callbacks,42,6,14.285714285714285,36,85.71428571428571,29,69.04761904761905,99,25.0
complex-switch-case,83,53,63.85542168674698,30,36.144578313253014,31,37.34939759036144,258,169
this-assign,587,199,33.901192504258944,388,66.09880749574106,86,14.65076660988075,339,406
complex-chaining,15,13,86.66666666666667,2,13.333333333333334,6,40.0,422,320
no-reassign,10993,5297,48.18520876921678,5696,51.81479123078323,4538,41.28081506413172,365,406
no-extra-bind,0,0,0,0,0,0,0,0,0
cond-assign,30,14,46.666666666666664,16,53.333333333333336,6,20.0,340,524.0
Total,11947,5740,48.04553444379342,6207,51.95446555620657,4746,39.72545408889261
