Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,292,283,96.91780821917808,9,3.0821917808219177,260,89.04109589041096,143,74
max-depth,96,96,100.0,0,0.0,96,100.0,94,74.0
complexity,379,374,98.68073878627969,5,1.3192612137203166,353,93.13984168865436,122,74
max-len,115,99,86.08695652173914,16,13.91304347826087,44,38.26086956521739,325,138
max-params,86,82,95.34883720930233,4,4.651162790697675,75,87.20930232558139,180,74.0
max-nested-callbacks,1042,314,30.134357005758154,728,69.86564299424184,417,40.019193857965455,1152,1101
complex-switch-case,69,58,84.05797101449275,11,15.942028985507244,50,72.46376811594203,431,75
this-assign,128,123,96.09375,5,3.90625,92,71.875,225,74.5
complex-chaining,234,203,86.75213675213675,31,13.247863247863249,140,59.82905982905983,219,74.0
no-reassign,7168,6743,94.07087053571429,425,5.929129464285714,5783,80.67801339285714,209,74.0
no-extra-bind,0,0,0,0,0,0,0,0,0
cond-assign,59,55,93.22033898305084,4,6.779661016949152,38,64.40677966101694,239,75
Total,9668,8430,87.19486967314853,1238,12.805130326851469,7348,76.00330988829127
