Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,60,55,91.66666666666666,5,8.333333333333332,41,68.33333333333333,334,248.0
max-depth,10,10,100.0,0,0.0,9,90.0,242,248.0
complexity,96,91,94.79166666666666,5,5.208333333333334,82,85.41666666666666,292,248.0
max-len,351,243,69.23076923076923,108,30.76923076923077,172,49.002849002849004,681,248
max-params,50,46,92.0,4,8.0,43,86.0,306,248.0
max-nested-callbacks,34,29,85.29411764705883,5,14.705882352941178,14,41.17647058823529,320,190.5
complex-switch-case,4,4,100.0,0,0.0,3,75.0,238,248.0
this-assign,8,8,100.0,0,0.0,8,100.0,220,248.0
complex-chaining,34,30,88.23529411764706,4,11.76470588235294,7,20.588235294117645,312,134.0
no-reassign,2527,2210,87.45548080728136,317,12.544519192718639,1636,64.74079936683815,411,248
no-extra-bind,1,1,100.0,0,0.0,1,100.0,3,3
cond-assign,5,5,100.0,0,0.0,1,20.0,289,253
Total,3180,2732,85.9119496855346,448,14.08805031446541,2017,63.42767295597484
