Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,38,27,71.05263157894737,11,28.947368421052634,20,52.63157894736842,833,479.0
max-depth,43,37,86.04651162790698,6,13.953488372093023,25,58.139534883720934,553,509
complexity,52,44,84.61538461538461,8,15.384615384615385,33,63.46153846153846,521,354.5
max-len,83,74,89.1566265060241,9,10.843373493975903,65,78.3132530120482,407,61
max-params,66,44,66.66666666666666,22,33.33333333333333,29,43.93939393939394,595,472.0
max-nested-callbacks,65,31,47.69230769230769,34,52.307692307692314,22,33.84615384615385,1195,1533
complex-switch-case,161,146,90.6832298136646,15,9.316770186335404,130,80.74534161490683,435,179
this-assign,155,118,76.12903225806451,37,23.870967741935484,120,77.41935483870968,716,539
complex-chaining,117,59,50.427350427350426,58,49.572649572649574,35,29.914529914529915,785,657
no-reassign,18232,13076,71.72005265467311,5156,28.2799473453269,12122,66.48749451513822,694,528
no-extra-bind,3,3,100.0,0,0.0,3,100.0,972,990
cond-assign,84,84,100.0,0,0.0,71,84.52380952380952,723,990.0
Total,19099,13743,71.95664694486622,5356,28.043353055133775,12675,66.36473113775591
