Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,217,201,92.62672811059907,16,7.373271889400922,205,94.47004608294931,195,36
max-depth,289,285,98.6159169550173,4,1.384083044982699,267,92.38754325259517,154,55
complexity,141,133,94.32624113475178,8,5.673758865248227,131,92.90780141843972,208,43
max-len,573,547,95.46247818499127,26,4.537521815008725,509,88.8307155322862,139,36
max-params,114,94,82.45614035087719,20,17.543859649122805,87,76.31578947368422,244,56.0
max-nested-callbacks,69,58,84.05797101449275,11,15.942028985507244,44,63.76811594202898,385,56
complex-switch-case,136,122,89.70588235294117,14,10.294117647058822,126,92.64705882352942,152,21.0
this-assign,425,392,92.23529411764706,33,7.764705882352942,387,91.05882352941177,314,129
complex-chaining,93,81,87.09677419354838,12,12.903225806451612,71,76.34408602150538,334,128
no-reassign,40758,36979,90.72820059865549,3779,9.271799401344522,37303,91.52313656214731,281,56.0
no-extra-bind,0,0,0,0,0,0,0,0,0
cond-assign,1353,1349,99.70436067997043,4,0.29563932002956395,1261,93.20029563932003,477,405
Total,44168,40241,91.10894765441043,3927,8.891052345589568,40391,91.44856004347038
