Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,81,45,55.55555555555556,36,44.44444444444444,44,54.32098765432099,447,337
max-depth,10,10,100.0,0,0.0,10,100.0,203,243.0
complexity,38,32,84.21052631578947,6,15.789473684210526,26,68.42105263157895,517,350.0
max-len,128,117,91.40625,11,8.59375,85,66.40625,277,243.0
max-params,38,16,42.10526315789473,22,57.89473684210527,21,55.26315789473685,562,290.5
max-nested-callbacks,354,19,5.367231638418079,335,94.63276836158192,12,3.389830508474576,464,492.0
complex-switch-case,186,117,62.903225806451616,69,37.096774193548384,114,61.29032258064516,634,299.0
this-assign,27,21,77.77777777777779,6,22.22222222222222,19,70.37037037037037,327,243
complex-chaining,155,113,72.90322580645162,42,27.09677419354839,74,47.74193548387097,389,243
no-reassign,16705,5642,33.77431906614786,11063,66.22568093385213,6154,36.83926967973661,486,450
no-extra-bind,0,0,0,0,0,0,0,0,0
cond-assign,3,3,100.0,0,0.0,2,66.66666666666666,165,243
Total,17725,6135,34.61212976022567,11590,65.38787023977433,6561,37.01551480959097
