Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,45,38,84.44444444444444,7,15.555555555555555,42,93.33333333333333,401,375
max-depth,9,9,100.0,0,0.0,9,100.0,375,375
complexity,222,194,87.38738738738738,28,12.612612612612612,200,90.09009009009009,364,375.0
max-len,91,75,82.41758241758241,16,17.582417582417584,53,58.24175824175825,336,224
max-params,266,176,66.16541353383458,90,33.83458646616541,208,78.19548872180451,396,206.0
max-nested-callbacks,10,7,70.0,3,30.0,6,60.0,312,196.0
complex-switch-case,33,21,63.63636363636363,12,36.36363636363637,18,54.54545454545454,402,375
this-assign,66,61,92.42424242424242,5,7.575757575757576,61,92.42424242424242,562,837.0
complex-chaining,466,365,78.32618025751073,101,21.67381974248927,344,73.8197424892704,372,241
no-reassign,5798,4720,81.40738185581235,1078,18.59261814418765,4656,80.30355294929285,391,375
no-extra-bind,0,0,0,0,0,0,0,0,0
cond-assign,2,2,100.0,0,0.0,2,100.0,460,459.5
Total,7008,5668,80.87899543378995,1340,19.121004566210047,5599,79.89440639269407
