Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,5,4,80.0,1,20.0,2,40.0,425,524
max-depth,0,0,0,0,0,0,0,0,0
complexity,4,3,75.0,1,25.0,2,50.0,501,293.0
max-len,17,13,76.47058823529412,4,23.52941176470588,4,23.52941176470588,408,301
max-params,4,2,50.0,2,50.0,3,75.0,539,552.5
max-nested-callbacks,29,1,3.4482758620689653,28,96.55172413793103,1,3.4482758620689653,592,774
complex-switch-case,12,10,83.33333333333334,2,16.666666666666664,8,66.66666666666666,359,302.0
this-assign,78,28,35.8974358974359,50,64.1025641025641,34,43.58974358974359,743,874.0
complex-chaining,54,32,59.25925925925925,22,40.74074074074074,38,70.37037037037037,557,256.0
no-reassign,2029,1362,67.12666338097584,667,32.87333661902415,1140,56.18531296205027,534,365
no-extra-bind,0,0,0,0,0,0,0,0,0
cond-assign,0,0,0,0,0,0,0,0,0
Total,2232,1455,65.18817204301075,777,34.81182795698925,1232,55.19713261648745
