Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,84,60,71.42857142857143,24,28.57142857142857,57,67.85714285714286,173,82.0
max-depth,24,9,37.5,15,62.5,15,62.5,189,43.0
complexity,117,87,74.35897435897436,30,25.64102564102564,86,73.50427350427351,163,43.0
max-len,226,193,85.39823008849558,33,14.601769911504425,206,91.1504424778761,150,7.0
max-params,111,85,76.57657657657657,26,23.423423423423422,69,62.16216216216216,174,49
max-nested-callbacks,13,13,100.0,0,0.0,5,38.46153846153847,49,1
complex-switch-case,132,88,66.66666666666666,44,33.33333333333333,121,91.66666666666666,148,15.0
this-assign,155,63,40.64516129032258,92,59.354838709677416,61,39.35483870967742,110,43
complex-chaining,37,36,97.2972972972973,1,2.7027027027027026,26,70.27027027027027,160,181
no-reassign,10956,8331,76.04052573932091,2625,23.95947426067908,7866,71.79627601314348,188,52.0
no-extra-bind,47,47,100.0,0,0.0,45,95.74468085106383,83,86
cond-assign,154,107,69.48051948051948,47,30.519480519480517,80,51.94805194805194,196,100.5
Total,12056,9119,75.63868613138686,2937,24.361313868613138,8637,71.64067684140677
