Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,676,259,38.31360946745562,417,61.68639053254438,421,62.278106508875744,171,139.0
max-depth,16,5,31.25,11,68.75,5,31.25,92,46.5
complexity,1089,414,38.01652892561984,675,61.98347107438017,679,62.35078053259871,171,139
max-len,7155,2947,41.187980433263455,4208,58.81201956673655,3518,49.16841369671558,143,125
max-params,502,221,44.02390438247012,281,55.97609561752988,266,52.98804780876494,143,134.0
max-nested-callbacks,27,24,88.88888888888889,3,11.11111111111111,24,88.88888888888889,21,6
complex-switch-case,14,6,42.857142857142854,8,57.14285714285714,11,78.57142857142857,151,145.0
this-assign,242,137,56.611570247933884,105,43.388429752066116,164,67.76859504132231,172,139.0
complex-chaining,528,357,67.61363636363636,171,32.38636363636363,425,80.49242424242425,97,6.0
no-reassign,10032,4199,41.85606060606061,5833,58.14393939393939,6587,65.65988835725678,175,139.0
no-extra-bind,0,0,0,0,0,0,0,0,0
cond-assign,43,43,100.0,0,0.0,29,67.44186046511628,54,35
Total,20324,8612,42.373548514072034,11712,57.626451485927966,12129,59.67821295020666
