Type Smell,Number created,Number killed,Number killed (%),Number survived,Number survived (%),Number created at the birth of file,Number created at the birth of file (%),Average days of survival,Median days of survival
max-statements,94,82,87.2340425531915,12,12.76595744680851,45,47.87234042553192,580,352.0
max-depth,6,3,50.0,3,50.0,3,50.0,359,354.0
complexity,102,93,91.17647058823529,9,8.823529411764707,49,48.03921568627451,486,326.0
max-len,220,182,82.72727272727273,38,17.272727272727273,86,39.09090909090909,518,236.0
max-params,93,80,86.02150537634408,13,13.978494623655912,58,62.365591397849464,687,453
max-nested-callbacks,433,379,87.52886836027713,54,12.471131639722865,276,63.74133949191686,359,104
complex-switch-case,95,86,90.52631578947368,9,9.473684210526317,54,56.84210526315789,721,510
this-assign,70,39,55.714285714285715,31,44.285714285714285,43,61.42857142857143,915,735.5
complex-chaining,387,371,95.8656330749354,16,4.1343669250646,174,44.96124031007752,589,492
no-reassign,5270,4643,88.10246679316887,627,11.897533206831119,3192,60.56925996204934,593,352.0
no-extra-bind,8,8,100.0,0,0.0,6,75.0,462,483.5
cond-assign,5,4,80.0,1,20.0,1,20.0,709,455
Total,6783,5970,88.01415302963291,813,11.985846970367094,3987,58.77930119416187
